module,test,dtype,n_total,n_diff,max_ulp,tol,histogram,status
solve,solve batch[0] n=5,float32,5,3,34,atol=1e-14,2×1ULP 1×34ULP,within atol=1e-14
solve,solve batch[1] n=7,float32,7,7,32,atol=1e-14,1×17ULP 1×21ULP 1×23ULP 1×28ULP 2×29ULP 1×32ULP,within atol=1e-14
solve,solve batch[2] n=6,float32,6,3,13,atol=1e-14,1×2ULP 1×4ULP 1×13ULP,within atol=1e-14
solve,solve batch[3] n=5,float32,5,5,29,atol=1e-14,1×1ULP 1×2ULP 1×3ULP 1×8ULP 1×29ULP,within atol=1e-14
solve,solve batch[4] n=4,float32,4,1,2,atol=1e-14,1×2ULP,within atol=1e-14
solve,solve batch[5] n=4,float32,4,2,3,atol=1e-14,1×1ULP 1×3ULP,within atol=1e-14
solve,solve batch[6] n=5,float32,5,5,2,atol=1e-14,1×1ULP 4×2ULP,within atol=1e-14
solve,solve batch[7] n=6,float32,6,6,11,atol=1e-14,1×5ULP 2×6ULP 2×7ULP 1×11ULP,within atol=1e-14
solve,solve batch[8] n=7,float32,7,7,11,atol=1e-14,2×1ULP 3×2ULP 1×3ULP 1×11ULP,within atol=1e-14
solve,solve batch[9] n=4,float32,4,0,0,atol=1e-14,—,bit-identical
solve,solve batch[10] n=4,float32,4,2,1,atol=1e-14,2×1ULP,within atol=1e-14
solve,solve batch[11] n=4,float32,4,4,22,atol=1e-14,1×15ULP 1×16ULP 1×17ULP 1×22ULP,within atol=1e-14
solve,solve batch[12] n=5,float32,5,5,11,atol=1e-14,2×1ULP 1×3ULP 1×6ULP 1×11ULP,within atol=1e-14
solve,solve batch[13] n=6,float32,6,2,16,atol=1e-14,1×1ULP 1×16ULP,within atol=1e-14
solve,solve batch[14] n=5,float32,5,3,10,atol=1e-14,2×1ULP 1×10ULP,within atol=1e-14
solve,solve batch[15] n=6,float32,6,4,457,atol=1e-14,1×1ULP 1×2ULP 1×3ULP 1×457ULP,within atol=1e-14
solve,solve batch[16] n=6,float32,6,5,6,atol=1e-14,2×2ULP 2×4ULP 1×6ULP,within atol=1e-14
solve,solve batch[17] n=5,float32,5,5,13,atol=1e-14,1×1ULP 1×2ULP 2×3ULP 1×13ULP,within atol=1e-14
solve,solve batch[18] n=4,float32,4,0,0,atol=1e-14,—,bit-identical
solve,solve batch[19] n=7,float32,7,5,22,atol=1e-14,2×2ULP 1×9ULP 1×10ULP 1×22ULP,within atol=1e-14
solve,solve batch[20] n=7,float32,7,7,3,atol=1e-14,3×1ULP 3×2ULP 1×3ULP,within atol=1e-14
solve,solve batch[21] n=4,float32,4,1,1,atol=1e-14,1×1ULP,within atol=1e-14
solve,solve batch[22] n=5,float32,5,4,2,atol=1e-14,2×1ULP 2×2ULP,within atol=1e-14
solve,solve batch[23] n=6,float32,6,6,33,atol=1e-14,3×1ULP 1×2ULP 1×6ULP 1×33ULP,within atol=1e-14
solve,solve batch[24] n=6,float32,6,6,3,atol=1e-14,3×1ULP 2×2ULP 1×3ULP,within atol=1e-14
solve,solve batch[25] n=8,float32,8,8,15,atol=1e-14,2×1ULP 1×3ULP 1×5ULP 1×7ULP 1×9ULP 1×10ULP 1×15ULP,within atol=1e-14
solve,solve batch[26] n=8,float32,8,8,18,atol=1e-14,2×1ULP 1×2ULP 1×4ULP 1×5ULP 1×6ULP 1×7ULP 1×18ULP,within atol=1e-14
solve,solve batch[27] n=8,float32,8,8,10,atol=1e-14,3×2ULP 1×3ULP 2×4ULP 1×5ULP 1×10ULP,within atol=1e-14
solve,solve batch[28] n=8,float32,8,6,12,atol=1e-14,3×1ULP 1×2ULP 1×3ULP 1×12ULP,within atol=1e-14
solve,solve batch[29] n=8,float32,8,4,131,atol=1e-14,1×1ULP 1×6ULP 1×11ULP 1×131ULP,within atol=1e-14
solve,solve batch[30] n=6,float32,6,3,3,atol=1e-14,2×1ULP 1×3ULP,within atol=1e-14
solve,solve batch[31] n=6,float32,6,4,3,atol=1e-14,1×1ULP 1×2ULP 2×3ULP,within atol=1e-14
solve,solve batch[32] n=4,float32,4,4,2,atol=1e-14,3×1ULP 1×2ULP,within atol=1e-14
solve,solve batch[33] n=8,float32,8,7,4,atol=1e-14,3×1ULP 2×2ULP 2×4ULP,within atol=1e-14
solve,solve batch[34] n=5,float32,5,4,11,atol=1e-14,2×2ULP 1×4ULP 1×11ULP,within atol=1e-14
solve,solve batch[35] n=8,float32,8,7,13,atol=1e-14,1×1ULP 3×2ULP 1×3ULP 1×4ULP 1×13ULP,within atol=1e-14
solve,solve batch[36] n=7,float32,7,7,9,atol=1e-14,2×3ULP 2×5ULP 1×6ULP 1×7ULP 1×9ULP,within atol=1e-14
solve,solve batch[37] n=8,float32,8,6,5,atol=1e-14,5×1ULP 1×5ULP,within atol=1e-14
solve,solve batch[38] n=7,float32,7,7,642,atol=1e-14,1×4ULP 1×5ULP 1×6ULP 1×9ULP 1×21ULP 1×51ULP 1×642ULP,within atol=1e-14
solve,solve batch[39] n=5,float32,5,5,33,atol=1e-14,2×11ULP 1×15ULP 1×24ULP 1×33ULP,within atol=1e-14
solve,solve batch[40] n=7,float32,7,6,5,atol=1e-14,3×1ULP 2×2ULP 1×5ULP,within atol=1e-14
solve,solve batch[41] n=5,float32,5,5,10,atol=1e-14,1×1ULP 1×2ULP 1×3ULP 2×10ULP,within atol=1e-14
solve,solve batch[42] n=8,float32,8,6,5,atol=1e-14,2×1ULP 1×2ULP 1×3ULP 1×4ULP 1×5ULP,within atol=1e-14
solve,solve batch[43] n=6,float32,6,6,42,atol=1e-14,1×1ULP 2×2ULP 1×4ULP 1×5ULP 1×42ULP,within atol=1e-14
solve,solve batch[44] n=6,float32,6,5,2,atol=1e-14,2×1ULP 3×2ULP,within atol=1e-14
solve,solve batch[45] n=7,float32,7,6,8,atol=1e-14,2×1ULP 3×3ULP 1×8ULP,within atol=1e-14
solve,solve batch[46] n=4,float32,4,3,4,atol=1e-14,1×1ULP 1×2ULP 1×4ULP,within atol=1e-14
solve,solve batch[47] n=8,float32,8,6,94,atol=1e-14,1×1ULP 1×4ULP 1×9ULP 1×12ULP 1×14ULP 1×94ULP,within atol=1e-14
solve,solve batch[48] n=5,float32,5,5,6,atol=1e-14,1×1ULP 2×2ULP 1×4ULP 1×6ULP,within atol=1e-14
solve,solve batch[49] n=8,float32,8,6,8,atol=1e-14,2×1ULP 2×2ULP 1×4ULP 1×8ULP,within atol=1e-14
solve,solve batch[50] n=8,float32,8,7,35,atol=1e-14,1×1ULP 2×2ULP 2×4ULP 1×6ULP 1×35ULP,within atol=1e-14
solve,solve batch[51] n=4,float32,4,3,10,atol=1e-14,1×1ULP 1×3ULP 1×10ULP,within atol=1e-14
solve,solve batch[52] n=8,float32,8,7,16,atol=1e-14,2×2ULP 1×5ULP 1×7ULP 1×9ULP 1×13ULP 1×16ULP,within atol=1e-14
solve,solve batch[53] n=5,float32,5,5,5,atol=1e-14,1×1ULP 2×2ULP 2×5ULP,within atol=1e-14
solve,solve batch[54] n=4,float32,4,2,3,atol=1e-14,1×1ULP 1×3ULP,within atol=1e-14
solve,solve batch[55] n=8,float32,8,8,337,atol=1e-14,1×1ULP 2×3ULP 1×4ULP 1×11ULP 1×21ULP 1×25ULP 1×337ULP,within atol=1e-14
solve,solve batch[56] n=7,float32,7,6,10,atol=1e-14,4×1ULP 1×8ULP 1×10ULP,within atol=1e-14
solve,solve batch[57] n=6,float32,6,6,185,atol=1e-14,1×3ULP 1×5ULP 1×6ULP 1×9ULP 1×25ULP 1×185ULP,within atol=1e-14
solve,solve batch[58] n=4,float32,4,1,3,atol=1e-14,1×3ULP,within atol=1e-14
solve,solve batch[59] n=8,float32,8,7,11,atol=1e-14,1×1ULP 4×2ULP 1×8ULP 1×11ULP,within atol=1e-14
solve,solve batch[60] n=7,float32,7,6,6,atol=1e-14,4×1ULP 1×4ULP 1×6ULP,within atol=1e-14
solve,solve batch[61] n=7,float32,7,6,6,atol=1e-14,3×1ULP 2×3ULP 1×6ULP,within atol=1e-14
solve,solve batch[62] n=4,float32,4,3,16,atol=1e-14,1×1ULP 1×2ULP 1×16ULP,within atol=1e-14
solve,solve batch[63] n=8,float32,8,5,10,atol=1e-14,1×1ULP 1×5ULP 1×6ULP 1×9ULP 1×10ULP,within atol=1e-14
solve,solve batch[64] n=4,float32,4,4,10,atol=1e-14,2×1ULP 1×3ULP 1×10ULP,within atol=1e-14
solve,solve batch[65] n=7,float32,7,7,9,atol=1e-14,2×1ULP 1×2ULP 1×4ULP 1×6ULP 2×9ULP,within atol=1e-14
solve,solve batch[66] n=4,float32,4,4,5,atol=1e-14,2×1ULP 1×2ULP 1×5ULP,within atol=1e-14
solve,solve batch[67] n=5,float32,5,2,2,atol=1e-14,1×1ULP 1×2ULP,within atol=1e-14
solve,solve batch[68] n=7,float32,7,7,33,atol=1e-14,1×1ULP 1×4ULP 1×5ULP 1×6ULP 2×8ULP 1×33ULP,within atol=1e-14
solve,solve batch[69] n=8,float32,8,7,5,atol=1e-14,4×1ULP 1×2ULP 1×3ULP 1×5ULP,within atol=1e-14
solve,solve batch[70] n=7,float32,7,5,6,atol=1e-14,1×1ULP 1×2ULP 2×3ULP 1×6ULP,within atol=1e-14
solve,solve batch[71] n=5,float32,5,4,6,atol=1e-14,1×1ULP 2×3ULP 1×6ULP,within atol=1e-14
solve,solve batch[72] n=4,float32,4,4,3,atol=1e-14,2×1ULP 1×2ULP 1×3ULP,within atol=1e-14
solve,solve batch[73] n=6,float32,6,6,3,atol=1e-14,2×1ULP 3×2ULP 1×3ULP,within atol=1e-14
solve,solve batch[74] n=6,float32,6,6,27,atol=1e-14,1×1ULP 2×2ULP 1×4ULP 1×13ULP 1×27ULP,within atol=1e-14
solve,solve batch[75] n=4,float32,4,3,3,atol=1e-14,2×1ULP 1×3ULP,within atol=1e-14
solve,solve batch[76] n=5,float32,5,5,85,atol=1e-14,2×3ULP 1×5ULP 1×13ULP 1×85ULP,within atol=1e-14
solve,solve batch[77] n=4,float32,4,4,7,atol=1e-14,2×1ULP 1×2ULP 1×7ULP,within atol=1e-14
